county	date	fatalities
Bexar	Cases 03-10-2020	0
Blanco	Cases 03-10-2020	0
Borden	Cases 03-10-2020	0
Bosque	Cases 03-10-2020	0
Bowie	Cases 03-10-2020	0
Brazoria	Cases 03-10-2020	0
Brazos	Cases 03-10-2020	0
Brewster	Cases 03-10-2020	0
Briscoe	Cases 03-10-2020	0
Brooks	Cases 03-10-2020	0
Brown	Cases 03-10-2020	0
Burleson	Cases 03-10-2020	0
Burnet	Cases 03-10-2020	0
Caldwell	Cases 03-10-2020	0
Calhoun	Cases 03-10-2020	0
Callahan	Cases 03-10-2020	0
Cameron	Cases 03-10-2020	0
Camp	Cases 03-10-2020	0
Carson	Cases 03-10-2020	0
Cass	Cases 03-10-2020	0
Castro	Cases 03-10-2020	0
Chambers	Cases 03-10-2020	0
Cherokee	Cases 03-10-2020	0
Childress	Cases 03-10-2020	0
Clay	Cases 03-10-2020	0
Cochran	Cases 03-10-2020	0
Coke	Cases 03-10-2020	0
Coleman	Cases 03-10-2020	0
Collin	Cases 03-10-2020	3
Collingsworth	Cases 03-10-2020	0
Colorado	Cases 03-10-2020	0
Comal	Cases 03-10-2020	0
Comanche	Cases 03-10-2020	0
Concho	Cases 03-10-2020	0
Cooke	Cases 03-10-2020	0
Coryell	Cases 03-10-2020	0
Cottle	Cases 03-10-2020	0
Crane	Cases 03-10-2020	0
Crockett	Cases 03-10-2020	0
Crosby	Cases 03-10-2020	0
Culberson	Cases 03-10-2020	0
Dallam	Cases 03-10-2020	0
Dallas	Cases 03-10-2020	0
Dawson	Cases 03-10-2020	0
Deaf Smith	Cases 03-10-2020	0
Delta	Cases 03-10-2020	0
Denton	Cases 03-10-2020	0
DeWitt	Cases 03-10-2020	0
Dickens	Cases 03-10-2020	0
Dimmit	Cases 03-10-2020	0
Donley	Cases 03-10-2020	0
Duval	Cases 03-10-2020	0
Eastland	Cases 03-10-2020	0
Ector	Cases 03-10-2020	0
Edwards	Cases 03-10-2020	0
Ellis	Cases 03-10-2020	0
El Paso	Cases 03-10-2020	0
Erath	Cases 03-10-2020	0
Falls	Cases 03-10-2020	0
Fannin	Cases 03-10-2020	0
Fayette	Cases 03-10-2020	0
Fisher	Cases 03-10-2020	0
Floyd	Cases 03-10-2020	0
Foard	Cases 03-10-2020	0
Fort Bend	Cases 03-10-2020	6
Franklin	Cases 03-10-2020	0
Freestone	Cases 03-10-2020	0
Frio	Cases 03-10-2020	0
Gaines	Cases 03-10-2020	0
Galveston	Cases 03-10-2020	0
Garza	Cases 03-10-2020	0
Gillespie	Cases 03-10-2020	0
Glasscock	Cases 03-10-2020	0
Goliad	Cases 03-10-2020	0
Gonzales	Cases 03-10-2020	0
Gray	Cases 03-10-2020	0
Grayson	Cases 03-10-2020	0
Gregg	Cases 03-10-2020	1
Grimes	Cases 03-10-2020	0
Guadalupe	Cases 03-10-2020	0
Hale	Cases 03-10-2020	0
Hall	Cases 03-10-2020	0
Hamilton	Cases 03-10-2020	0
Hansford	Cases 03-10-2020	0
Hardeman	Cases 03-10-2020	0
Hardin	Cases 03-10-2020	0
Harris	Cases 03-10-2020	5
Harrison	Cases 03-10-2020	0
Hartley	Cases 03-10-2020	0
Haskell	Cases 03-10-2020	0
Hays	Cases 03-10-2020	0
Hemphill	Cases 03-10-2020	0
Henderson	Cases 03-10-2020	0
Hidalgo	Cases 03-10-2020	0
Hill	Cases 03-10-2020	0
Hockley	Cases 03-10-2020	0
Hood	Cases 03-10-2020	0
Hopkins	Cases 03-10-2020	0
Houston	Cases 03-10-2020	0
Howard	Cases 03-10-2020	0
Hudspeth	Cases 03-10-2020	0
Hunt	Cases 03-10-2020	0
Hutchinson	Cases 03-10-2020	0
Irion	Cases 03-10-2020	0
Jack	Cases 03-10-2020	0
Jackson	Cases 03-10-2020	0
Jasper	Cases 03-10-2020	0
Jeff Davis	Cases 03-10-2020	0
Jefferson	Cases 03-10-2020	0
Jim Hogg	Cases 03-10-2020	0
Jim Wells	Cases 03-10-2020	0
Johnson	Cases 03-10-2020	0
Jones	Cases 03-10-2020	0
Karnes	Cases 03-10-2020	0
Kaufman	Cases 03-10-2020	0
Kendall	Cases 03-10-2020	0
Kenedy	Cases 03-10-2020	0
Kent	Cases 03-10-2020	0
Kerr	Cases 03-10-2020	0
Kimble	Cases 03-10-2020	0
King	Cases 03-10-2020	0
Kinney	Cases 03-10-2020	0
Kleberg	Cases 03-10-2020	0
Knox	Cases 03-10-2020	0
Lamar	Cases 03-10-2020	0
Lamb	Cases 03-10-2020	0
Lampasas	Cases 03-10-2020	0
La Salle	Cases 03-10-2020	0
Lavaca	Cases 03-10-2020	0
Lee	Cases 03-10-2020	0
Leon	Cases 03-10-2020	0
Liberty	Cases 03-10-2020	0
Limestone	Cases 03-10-2020	0
Lipscomb	Cases 03-10-2020	0
Live Oak	Cases 03-10-2020	0
Llano	Cases 03-10-2020	0
Loving	Cases 03-10-2020	0
Lubbock	Cases 03-10-2020	0
Lynn	Cases 03-10-2020	0
McCulloch	Cases 03-10-2020	0
McLennan	Cases 03-10-2020	0
McMullen	Cases 03-10-2020	0
Madison	Cases 03-10-2020	0
Marion	Cases 03-10-2020	0
Martin	Cases 03-10-2020	0
Mason	Cases 03-10-2020	0
Matagorda	Cases 03-10-2020	0
Maverick	Cases 03-10-2020	0
Medina	Cases 03-10-2020	0
Menard	Cases 03-10-2020	0
Midland	Cases 03-10-2020	0
Milam	Cases 03-10-2020	0
Mills	Cases 03-10-2020	0
Mitchell	Cases 03-10-2020	0
Montague	Cases 03-10-2020	0
Montgomery	Cases 03-10-2020	0
Moore	Cases 03-10-2020	0
Morris	Cases 03-10-2020	0
Motley	Cases 03-10-2020	0
Nacogdoches	Cases 03-10-2020	0
Navarro	Cases 03-10-2020	0
Newton	Cases 03-10-2020	0
Nolan	Cases 03-10-2020	0
Nueces	Cases 03-10-2020	0
Ochiltree	Cases 03-10-2020	0
Oldham	Cases 03-10-2020	0
Orange	Cases 03-10-2020	0
Palo Pinto	Cases 03-10-2020	0
Panola	Cases 03-10-2020	0
Parker	Cases 03-10-2020	0
Parmer	Cases 03-10-2020	0
Pecos	Cases 03-10-2020	0
Polk	Cases 03-10-2020	0
Potter	Cases 03-10-2020	0
Presidio	Cases 03-10-2020	0
Rains	Cases 03-10-2020	0
Randall	Cases 03-10-2020	0
Reagan	Cases 03-10-2020	0
Real	Cases 03-10-2020	0
Red River	Cases 03-10-2020	0
Reeves	Cases 03-10-2020	0
Refugio	Cases 03-10-2020	0
Roberts	Cases 03-10-2020	0
Robertson	Cases 03-10-2020	0
Rockwall	Cases 03-10-2020	0
Runnels	Cases 03-10-2020	0
Rusk	Cases 03-10-2020	0
Sabine	Cases 03-10-2020	0
San Augustine	Cases 03-10-2020	0
San Jacinto	Cases 03-10-2020	0
San Patricio	Cases 03-10-2020	0
San Saba	Cases 03-10-2020	0
Schleicher	Cases 03-10-2020	0
Scurry	Cases 03-10-2020	0
Shackelford	Cases 03-10-2020	0
Shelby	Cases 03-10-2020	0
Sherman	Cases 03-10-2020	0
Smith	Cases 03-10-2020	0
Somervell	Cases 03-10-2020	0
Starr	Cases 03-10-2020	0
Stephens	Cases 03-10-2020	0
Sterling	Cases 03-10-2020	0
Stonewall	Cases 03-10-2020	0
Sutton	Cases 03-10-2020	0
Swisher	Cases 03-10-2020	0
Tarrant	Cases 03-10-2020	0
Taylor	Cases 03-10-2020	0
Terrell	Cases 03-10-2020	0
Terry	Cases 03-10-2020	0
Throckmorton	Cases 03-10-2020	0
Titus	Cases 03-10-2020	0
Tom Green	Cases 03-10-2020	0
Travis	Cases 03-10-2020	0
Trinity	Cases 03-10-2020	0
Tyler	Cases 03-10-2020	0
Upshur	Cases 03-10-2020	0
Upton	Cases 03-10-2020	0
Uvalde	Cases 03-10-2020	0
Val Verde	Cases 03-10-2020	0
Van Zandt	Cases 03-10-2020	0
Victoria	Cases 03-10-2020	0
Walker	Cases 03-10-2020	0
Waller	Cases 03-10-2020	0
Ward	Cases 03-10-2020	0
Washington	Cases 03-10-2020	0
Webb	Cases 03-10-2020	0
Wharton	Cases 03-10-2020	0
Wheeler	Cases 03-10-2020	0
Wichita	Cases 03-10-2020	0
Wilbarger	Cases 03-10-2020	0
Willacy	Cases 03-10-2020	0
Williamson	Cases 03-10-2020	0
Wilson	Cases 03-10-2020	0
Winkler	Cases 03-10-2020	0
Wise	Cases 03-10-2020	0
Wood	Cases 03-10-2020	0
Yoakum	Cases 03-10-2020	0
Young	Cases 03-10-2020	0
Zapata	Cases 03-10-2020	0
Zavala	Cases 03-10-2020	0
Anderson	Cases 03-11-2020	0
Andrews	Cases 03-11-2020	0
Angelina	Cases 03-11-2020	0
Aransas	Cases 03-11-2020	0
Archer	Cases 03-11-2020	0
Armstrong	Cases 03-11-2020	0
Atascosa	Cases 03-11-2020	0
Austin	Cases 03-11-2020	0
Bailey	Cases 03-11-2020	0
Bandera	Cases 03-11-2020	0
Bastrop	Cases 03-11-2020	0
Baylor	Cases 03-11-2020	0
Bee	Cases 03-11-2020	0
Bell	Cases 03-11-2020	0
Bexar	Cases 03-11-2020	0
Blanco	Cases 03-11-2020	0
Borden	Cases 03-11-2020	0
Bosque	Cases 03-11-2020	0
Bowie	Cases 03-11-2020	0
Brazoria	Cases 03-11-2020	0
Brazos	Cases 03-11-2020	0
Brewster	Cases 03-11-2020	0
Briscoe	Cases 03-11-2020	0
Brooks	Cases 03-11-2020	0
Brown	Cases 03-11-2020	0
Burleson	Cases 03-11-2020	0
Burnet	Cases 03-11-2020	0
Caldwell	Cases 03-11-2020	0
Calhoun	Cases 03-11-2020	0
Callahan	Cases 03-11-2020	0
Cameron	Cases 03-11-2020	0
Camp	Cases 03-11-2020	0
Carson	Cases 03-11-2020	0
Cass	Cases 03-11-2020	0
Castro	Cases 03-11-2020	0
Chambers	Cases 03-11-2020	0
Cherokee	Cases 03-11-2020	0
Childress	Cases 03-11-2020	0
Clay	Cases 03-11-2020	0
Cochran	Cases 03-11-2020	0
Coke	Cases 03-11-2020	0
Coleman	Cases 03-11-2020	0
Collin	Cases 03-11-2020	3
Collingsworth	Cases 03-11-2020	0
Colorado	Cases 03-11-2020	0
Comal	Cases 03-11-2020	0
Comanche	Cases 03-11-2020	0
Concho	Cases 03-11-2020	0
Cooke	Cases 03-11-2020	0
Coryell	Cases 03-11-2020	0
Cottle	Cases 03-11-2020	0
Crane	Cases 03-11-2020	0
Crockett	Cases 03-11-2020	0
Crosby	Cases 03-11-2020	0
Culberson	Cases 03-11-2020	0
Dallam	Cases 03-11-2020	0
Dallas	Cases 03-11-2020	2
Dawson	Cases 03-11-2020	0
Deaf Smith	Cases 03-11-2020	0
Delta	Cases 03-11-2020	0
Denton	Cases 03-11-2020	0
DeWitt	Cases 03-11-2020	0
Dickens	Cases 03-11-2020	0
Dimmit	Cases 03-11-2020	0
Donley	Cases 03-11-2020	0
Duval	Cases 03-11-2020	0
Eastland	Cases 03-11-2020	0
Ector	Cases 03-11-2020	0
Edwards	Cases 03-11-2020	0
Ellis	Cases 03-11-2020	0
El Paso	Cases 03-11-2020	0
Erath	Cases 03-11-2020	0
Falls	Cases 03-11-2020	0
Fannin	Cases 03-11-2020	0
Fayette	Cases 03-11-2020	0
Fisher	Cases 03-11-2020	0
Floyd	Cases 03-11-2020	0
Foard	Cases 03-11-2020	0
Fort Bend	Cases 03-11-2020	6
Franklin	Cases 03-11-2020	0
Freestone	Cases 03-11-2020	0
Frio	Cases 03-11-2020	0
Gaines	Cases 03-11-2020	0
Galveston	Cases 03-11-2020	0
Garza	Cases 03-11-2020	0
Gillespie	Cases 03-11-2020	0
Glasscock	Cases 03-11-2020	0
Goliad	Cases 03-11-2020	0
Gonzales	Cases 03-11-2020	0
Gray	Cases 03-11-2020	0
Grayson	Cases 03-11-2020	0
Gregg	Cases 03-11-2020	1
Grimes	Cases 03-11-2020	0
Guadalupe	Cases 03-11-2020	0
Hale	Cases 03-11-2020	0
Hall	Cases 03-11-2020	0
Hamilton	Cases 03-11-2020	0
Hansford	Cases 03-11-2020	0
Hardeman	Cases 03-11-2020	0
Hardin	Cases 03-11-2020	0
Harris	Cases 03-11-2020	5
Harrison	Cases 03-11-2020	0
Hartley	Cases 03-11-2020	0
Haskell	Cases 03-11-2020	0
Hays	Cases 03-11-2020	0
Hemphill	Cases 03-11-2020	0
Henderson	Cases 03-11-2020	0
Hidalgo	Cases 03-11-2020	0
Hill	Cases 03-11-2020	0
Hockley	Cases 03-11-2020	0
Hood	Cases 03-11-2020	0
Hopkins	Cases 03-11-2020	0
Houston	Cases 03-11-2020	0
Howard	Cases 03-11-2020	0
Hudspeth	Cases 03-11-2020	0
Hunt	Cases 03-11-2020	0
Hutchinson	Cases 03-11-2020	0
Irion	Cases 03-11-2020	0
Jack	Cases 03-11-2020	0
Jackson	Cases 03-11-2020	0
Jasper	Cases 03-11-2020	0
Jeff Davis	Cases 03-11-2020	0
Jefferson	Cases 03-11-2020	0
Jim Hogg	Cases 03-11-2020	0
Jim Wells	Cases 03-11-2020	0
Johnson	Cases 03-11-2020	0
Jones	Cases 03-11-2020	0
Karnes	Cases 03-11-2020	0
Kaufman	Cases 03-11-2020	0
Kendall	Cases 03-11-2020	0
Kenedy	Cases 03-11-2020	0
Kent	Cases 03-11-2020	0
Kerr	Cases 03-11-2020	0
Kimble	Cases 03-11-2020	0
King	Cases 03-11-2020	0
Kinney	Cases 03-11-2020	0
Kleberg	Cases 03-11-2020	0
Knox	Cases 03-11-2020	0
Lamar	Cases 03-11-2020	0
Lamb	Cases 03-11-2020	0
Lampasas	Cases 03-11-2020	0
La Salle	Cases 03-11-2020	0
Lavaca	Cases 03-11-2020	0
Lee	Cases 03-11-2020	0
Leon	Cases 03-11-2020	0
Liberty	Cases 03-11-2020	0
Limestone	Cases 03-11-2020	0
Lipscomb	Cases 03-11-2020	0
Live Oak	Cases 03-11-2020	0
Llano	Cases 03-11-2020	0
Loving	Cases 03-11-2020	0
Lubbock	Cases 03-11-2020	0
Lynn	Cases 03-11-2020	0
McCulloch	Cases 03-11-2020	0
McLennan	Cases 03-11-2020	0
McMullen	Cases 03-11-2020	0
Madison	Cases 03-11-2020	0
Marion	Cases 03-11-2020	0
Martin	Cases 03-11-2020	0
Mason	Cases 03-11-2020	0
Matagorda	Cases 03-11-2020	0
Maverick	Cases 03-11-2020	0
Medina	Cases 03-11-2020	0
Menard	Cases 03-11-2020	0
Midland	Cases 03-11-2020	0
Milam	Cases 03-11-2020	0
Mills	Cases 03-11-2020	0
Mitchell	Cases 03-11-2020	0
Montague	Cases 03-11-2020	0
Montgomery	Cases 03-11-2020	0
Moore	Cases 03-11-2020	0
Morris	Cases 03-11-2020	0
Motley	Cases 03-11-2020	0
Nacogdoches	Cases 03-11-2020	0
Navarro	Cases 03-11-2020	0
Newton	Cases 03-11-2020	0
Nolan	Cases 03-11-2020	0
Nueces	Cases 03-11-2020	0
Ochiltree	Cases 03-11-2020	0
Oldham	Cases 03-11-2020	0
Orange	Cases 03-11-2020	0
Palo Pinto	Cases 03-11-2020	0
Panola	Cases 03-11-2020	0
Parker	Cases 03-11-2020	0
Parmer	Cases 03-11-2020	0
Pecos	Cases 03-11-2020	0
Polk	Cases 03-11-2020	0
Potter	Cases 03-11-2020	0
Presidio	Cases 03-11-2020	0
Rains	Cases 03-11-2020	0
Randall	Cases 03-11-2020	0
Reagan	Cases 03-11-2020	0
Real	Cases 03-11-2020	0
Red River	Cases 03-11-2020	0
Reeves	Cases 03-11-2020	0
Refugio	Cases 03-11-2020	0
Roberts	Cases 03-11-2020	0
Robertson	Cases 03-11-2020	0
Rockwall	Cases 03-11-2020	0
Runnels	Cases 03-11-2020	0
Rusk	Cases 03-11-2020	0
Sabine	Cases 03-11-2020	0
San Augustine	Cases 03-11-2020	0
San Jacinto	Cases 03-11-2020	0
San Patricio	Cases 03-11-2020	0
San Saba	Cases 03-11-2020	0
Schleicher	Cases 03-11-2020	0
Scurry	Cases 03-11-2020	0
Shackelford	Cases 03-11-2020	0
Shelby	Cases 03-11-2020	0
Sherman	Cases 03-11-2020	0
Smith	Cases 03-11-2020	0
Somervell	Cases 03-11-2020	0
Starr	Cases 03-11-2020	0
Stephens	Cases 03-11-2020	0
Sterling	Cases 03-11-2020	0
Stonewall	Cases 03-11-2020	0
Sutton	Cases 03-11-2020	0
Swisher	Cases 03-11-2020	0
Tarrant	Cases 03-11-2020	1
Taylor	Cases 03-11-2020	0
Terrell	Cases 03-11-2020	0
Terry	Cases 03-11-2020	0
Throckmorton	Cases 03-11-2020	0
Titus	Cases 03-11-2020	0
Tom Green	Cases 03-11-2020	0
Travis	Cases 03-11-2020	0
Trinity	Cases 03-11-2020	0
Tyler	Cases 03-11-2020	0
Upshur	Cases 03-11-2020	0
Upton	Cases 03-11-2020	0
Uvalde	Cases 03-11-2020	0
Val Verde	Cases 03-11-2020	0
Van Zandt	Cases 03-11-2020	0
Victoria	Cases 03-11-2020	0
Walker	Cases 03-11-2020	0
Waller	Cases 03-11-2020	0
Ward	Cases 03-11-2020	0
Washington	Cases 03-11-2020	0
Webb	Cases 03-11-2020	0
Wharton	Cases 03-11-2020	0
Wheeler	Cases 03-11-2020	0
Wichita	Cases 03-11-2020	0
Wilbarger	Cases 03-11-2020	0
Willacy	Cases 03-11-2020	0
Williamson	Cases 03-11-2020	0
Wilson	Cases 03-11-2020	0
Winkler	Cases 03-11-2020	0
Wise	Cases 03-11-2020	0
Wood	Cases 03-11-2020	0
Yoakum	Cases 03-11-2020	0
Young	Cases 03-11-2020	0
Zapata	Cases 03-11-2020	0
Zavala	Cases 03-11-2020	0
Anderson	Cases 03-12-2020	0
Andrews	Cases 03-12-2020	0
Angelina	Cases 03-12-2020	0
Aransas	Cases 03-12-2020	0
Archer	Cases 03-12-2020	0
Armstrong	Cases 03-12-2020	0
Atascosa	Cases 03-12-2020	0
Austin	Cases 03-12-2020	0
Bailey	Cases 03-12-2020	0
Bandera	Cases 03-12-2020	0
Bastrop	Cases 03-12-2020	0
Baylor	Cases 03-12-2020	0
Bee	Cases 03-12-2020	0
Bell	Cases 03-12-2020	0
Bexar	Cases 03-12-2020	0
Blanco	Cases 03-12-2020	0
Borden	Cases 03-12-2020	0
Bosque	Cases 03-12-2020	0
Bowie	Cases 03-12-2020	0
Brazoria	Cases 03-12-2020	0
Brazos	Cases 03-12-2020	0
Brewster	Cases 03-12-2020	0
Briscoe	Cases 03-12-2020	0
Brooks	Cases 03-12-2020	0
Brown	Cases 03-12-2020	0
Burleson	Cases 03-12-2020	0
Burnet	Cases 03-12-2020	0
Caldwell	Cases 03-12-2020	0
Calhoun	Cases 03-12-2020	0
Callahan	Cases 03-12-2020	0
Cameron	Cases 03-12-2020	0
Camp	Cases 03-12-2020	0
Carson	Cases 03-12-2020	0
Cass	Cases 03-12-2020	0
Castro	Cases 03-12-2020	0
Chambers	Cases 03-12-2020	0
Cherokee	Cases 03-12-2020	0
Childress	Cases 03-12-2020	0
Clay	Cases 03-12-2020	0
Cochran	Cases 03-12-2020	0
Coke	Cases 03-12-2020	0
Coleman	Cases 03-12-2020	0
Collin	Cases 03-12-2020	3
Collingsworth	Cases 03-12-2020	0
Colorado	Cases 03-12-2020	0
Comal	Cases 03-12-2020	0
Comanche	Cases 03-12-2020	0
Concho	Cases 03-12-2020	0
Cooke	Cases 03-12-2020	0
Coryell	Cases 03-12-2020	0
Cottle	Cases 03-12-2020	0
Crane	Cases 03-12-2020	0
Crockett	Cases 03-12-2020	0
Crosby	Cases 03-12-2020	0
Culberson	Cases 03-12-2020	0
Dallam	Cases 03-12-2020	0
Dallas	Cases 03-12-2020	3
Dawson	Cases 03-12-2020	0
Deaf Smith	Cases 03-12-2020	0
Delta	Cases 03-12-2020	0
Denton	Cases 03-12-2020	0
DeWitt	Cases 03-12-2020	0
Dickens	Cases 03-12-2020	0
Dimmit	Cases 03-12-2020	0
Donley	Cases 03-12-2020	0
Duval	Cases 03-12-2020	0
Eastland	Cases 03-12-2020	0
Ector	Cases 03-12-2020	0
Edwards	Cases 03-12-2020	0
Ellis	Cases 03-12-2020	0
El Paso	Cases 03-12-2020	0
Erath	Cases 03-12-2020	0
Falls	Cases 03-12-2020	0
Fannin	Cases 03-12-2020	0
Fayette	Cases 03-12-2020	0
Fisher	Cases 03-12-2020	0
Floyd	Cases 03-12-2020	0
Foard	Cases 03-12-2020	0
Fort Bend	Cases 03-12-2020	6
Franklin	Cases 03-12-2020	0
Freestone	Cases 03-12-2020	0
Frio	Cases 03-12-2020	0
Gaines	Cases 03-12-2020	0
Galveston	Cases 03-12-2020	0
Garza	Cases 03-12-2020	0
Gillespie	Cases 03-12-2020	0
Glasscock	Cases 03-12-2020	0
Goliad	Cases 03-12-2020	0
Gonzales	Cases 03-12-2020	0
Gray	Cases 03-12-2020	0
Grayson	Cases 03-12-2020	0
Gregg	Cases 03-12-2020	1
Grimes	Cases 03-12-2020	0
Guadalupe	Cases 03-12-2020	0
Hale	Cases 03-12-2020	0
Hall	Cases 03-12-2020	0
Hamilton	Cases 03-12-2020	0
Hansford	Cases 03-12-2020	0
Hardeman	Cases 03-12-2020	0
Hardin	Cases 03-12-2020	0
Harris	Cases 03-12-2020	7
Harrison	Cases 03-12-2020	0
Hartley	Cases 03-12-2020	0
Haskell	Cases 03-12-2020	0
Hays	Cases 03-12-2020	0
Hemphill	Cases 03-12-2020	0
Henderson	Cases 03-12-2020	0
Hidalgo	Cases 03-12-2020	0
Hill	Cases 03-12-2020	0
Hockley	Cases 03-12-2020	0
Hood	Cases 03-12-2020	0
Hopkins	Cases 03-12-2020	0
Houston	Cases 03-12-2020	0
Howard	Cases 03-12-2020	0
Hudspeth	Cases 03-12-2020	0
Hunt	Cases 03-12-2020	0
Hutchinson	Cases 03-12-2020	0
Irion	Cases 03-12-2020	0
Jack	Cases 03-12-2020	0
Jackson	Cases 03-12-2020	0
Jasper	Cases 03-12-2020	0
Jeff Davis	Cases 03-12-2020	0
Jefferson	Cases 03-12-2020	0
Jim Hogg	Cases 03-12-2020	0
Jim Wells	Cases 03-12-2020	0
Johnson	Cases 03-12-2020	0
Jones	Cases 03-12-2020	0
Karnes	Cases 03-12-2020	0
Kaufman	Cases 03-12-2020	0
Kendall	Cases 03-12-2020	0
Kenedy	Cases 03-12-2020	0
Kent	Cases 03-12-2020	0
Kerr	Cases 03-12-2020	0
Kimble	Cases 03-12-2020	0
King	Cases 03-12-2020	0
Kinney	Cases 03-12-2020	0
Kleberg	Cases 03-12-2020	0
Knox	Cases 03-12-2020	0
Lamar	Cases 03-12-2020	0
Lamb	Cases 03-12-2020	0
Lampasas	Cases 03-12-2020	0
La Salle	Cases 03-12-2020	0
Lavaca	Cases 03-12-2020	0
Lee	Cases 03-12-2020	0
Leon	Cases 03-12-2020	0
Liberty	Cases 03-12-2020	0
Limestone	Cases 03-12-2020	0
Lipscomb	Cases 03-12-2020	0
Live Oak	Cases 03-12-2020	0
Llano	Cases 03-12-2020	0
Loving	Cases 03-12-2020	0
Lubbock	Cases 03-12-2020	0
Lynn	Cases 03-12-2020	0
McCulloch	Cases 03-12-2020	0
McLennan	Cases 03-12-2020	0
McMullen	Cases 03-12-2020	0
Madison	Cases 03-12-2020	0
Marion	Cases 03-12-2020	0
Martin	Cases 03-12-2020	0
Mason	Cases 03-12-2020	0
Matagorda	Cases 03-12-2020	0
Maverick	Cases 03-12-2020	0
Medina	Cases 03-12-2020	0
Menard	Cases 03-12-2020	0
Midland	Cases 03-12-2020	0
Milam	Cases 03-12-2020	0
Mills	Cases 03-12-2020	0
Mitchell	Cases 03-12-2020	0
Montague	Cases 03-12-2020	0
Montgomery	Cases 03-12-2020	1
Moore	Cases 03-12-2020	0
Morris	Cases 03-12-2020	0
Motley	Cases 03-12-2020	0
Nacogdoches	Cases 03-12-2020	0
Navarro	Cases 03-12-2020	0
Newton	Cases 03-12-2020	0
Nolan	Cases 03-12-2020	0
Nueces	Cases 03-12-2020	0
Ochiltree	Cases 03-12-2020	0
Oldham	Cases 03-12-2020	0
Orange	Cases 03-12-2020	0
Palo Pinto	Cases 03-12-2020	0
Panola	Cases 03-12-2020	0
Parker	Cases 03-12-2020	0
Parmer	Cases 03-12-2020	0
Pecos	Cases 03-12-2020	0
Polk	Cases 03-12-2020	0
Potter	Cases 03-12-2020	0
Presidio	Cases 03-12-2020	0
Rains	Cases 03-12-2020	0
Randall	Cases 03-12-2020	0
Reagan	Cases 03-12-2020	0
Real	Cases 03-12-2020	0
Red River	Cases 03-12-2020	0
Reeves	Cases 03-12-2020	0
Refugio	Cases 03-12-2020	0
Roberts	Cases 03-12-2020	0
Robertson	Cases 03-12-2020	0
Rockwall	Cases 03-12-2020	0
Runnels	Cases 03-12-2020	0
Rusk	Cases 03-12-2020	0
Sabine	Cases 03-12-2020	0
San Augustine	Cases 03-12-2020	0
San Jacinto	Cases 03-12-2020	0
San Patricio	Cases 03-12-2020	0
San Saba	Cases 03-12-2020	0
Schleicher	Cases 03-12-2020	0
Scurry	Cases 03-12-2020	0
Shackelford	Cases 03-12-2020	0
Shelby	Cases 03-12-2020	0
Sherman	Cases 03-12-2020	0
Smith	Cases 03-12-2020	0
Somervell	Cases 03-12-2020	0
Starr	Cases 03-12-2020	0
Stephens	Cases 03-12-2020	0
Sterling	Cases 03-12-2020	0
Stonewall	Cases 03-12-2020	0
Sutton	Cases 03-12-2020	0
Swisher	Cases 03-12-2020	0
Tarrant	Cases 03-12-2020	1
Taylor	Cases 03-12-2020	0
Terrell	Cases 03-12-2020	0
Terry	Cases 03-12-2020	0
Throckmorton	Cases 03-12-2020	0
Titus	Cases 03-12-2020	0
Tom Green	Cases 03-12-2020	0
Travis	Cases 03-12-2020	0
Trinity	Cases 03-12-2020	0
Tyler	Cases 03-12-2020	0
Upshur	Cases 03-12-2020	0
Upton	Cases 03-12-2020	0
Uvalde	Cases 03-12-2020	0
Val Verde	Cases 03-12-2020	0
Van Zandt	Cases 03-12-2020	0
Victoria	Cases 03-12-2020	0
Walker	Cases 03-12-2020	0
Waller	Cases 03-12-2020	0
Ward	Cases 03-12-2020	0
Washington	Cases 03-12-2020	0
Webb	Cases 03-12-2020	0
Wharton	Cases 03-12-2020	0
Wheeler	Cases 03-12-2020	0
Wichita	Cases 03-12-2020	0
Wilbarger	Cases 03-12-2020	0
Willacy	Cases 03-12-2020	0
Williamson	Cases 03-12-2020	0
Wilson	Cases 03-12-2020	0
Winkler	Cases 03-12-2020	0
Wise	Cases 03-12-2020	0
Wood	Cases 03-12-2020	0
Yoakum	Cases 03-12-2020	0
Young	Cases 03-12-2020	0
Zapata	Cases 03-12-2020	0
Zavala	Cases 03-12-2020	0
Anderson	Cases 03-13-2020	0
Andrews	Cases 03-13-2020	0
Angelina	Cases 03-13-2020	0
Aransas	Cases 03-13-2020	0
Archer	Cases 03-13-2020	0
Armstrong	Cases 03-13-2020	0
Atascosa	Cases 03-13-2020	0
Austin	Cases 03-13-2020	0
Bailey	Cases 03-13-2020	0
Bandera	Cases 03-13-2020	0
Bastrop	Cases 03-13-2020	0
Baylor	Cases 03-13-2020	0
Bee	Cases 03-13-2020	0
Bell	Cases 03-13-2020	0
Bexar	Cases 03-13-2020	0
Blanco	Cases 03-13-2020	0
Borden	Cases 03-13-2020	0
Bosque	Cases 03-13-2020	0
Bowie	Cases 03-13-2020	0
Brazoria	Cases 03-13-2020	0
Brazos	Cases 03-13-2020	0
Brewster	Cases 03-13-2020	0
Briscoe	Cases 03-13-2020	0
Brooks	Cases 03-13-2020	0
Brown	Cases 03-13-2020	0
Burleson	Cases 03-13-2020	0
Burnet	Cases 03-13-2020	0
Caldwell	Cases 03-13-2020	0
Calhoun	Cases 03-13-2020	0
Callahan	Cases 03-13-2020	0
